============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     61         700915         196479           2207  b37b183445c96596  0b8b4f34aabd7eb0
     62           7835            809             34  b37b183445c96596  24b1019ffde88caa
     63    1.17634e+07        2368506          46955  b37b183445c96596  2e930d38ea32691b
     64             65              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            598  b37b183445c96596  4c887614dd02f590
     66            298              9              3  b37b183445c96596  5a64f7ba7a51f79f
     67          58558          57848            519  b37b183445c96596  675726f7a60715aa
     68          16062           6195            119  b37b183445c96596  a5a6044a4c07d484
     69            180             10              1  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 11
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.69044e+06        1415511          12460  0000000000000000  0000000000000000
     59          90577          72310            789  b37b183445c96596  011d2a5e7b19a5ee
     60         186939          86772            868  b37b183445c96596  0abcee64fc570d70
     61         702622         198081           1850  b37b183445c96596  0b8b4f34aabd7eb0
     62            819             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.41824e+07        2841426          48070  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            528  b37b183445c96596  4c887614dd02f590
     66            281              9              2  b37b183445c96596  5a64f7ba7a51f79f
     67          58825          57848            412  b37b183445c96596  675726f7a60715aa
     68          16117           6195            142  b37b183445c96596  a5a6044a4c07d484
     69            156             10              1  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 12
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.04921e+06        2445986          23586  0000000000000000  0000000000000000
     59          89892          72310           1004  b37b183445c96596  011d2a5e7b19a5ee
     60         185810          86772           1015  b37b183445c96596  0abcee64fc570d70
     61         703982         196479           2179  b37b183445c96596  0b8b4f34aabd7eb0
     62            842             27              4  b37b183445c96596  24b1019ffde88caa
     63    1.18289e+07        2368506          47217  b37b183445c96596  2e930d38ea32691b
     64             64              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            653  b37b183445c96596  4c887614dd02f590
     66            281              9              3  b37b183445c96596  5a64f7ba7a51f79f
     67          58804          57848            536  b37b183445c96596  675726f7a60715aa
     68          17034           6195            147  b37b183445c96596  a5a6044a4c07d484
     69            203             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 13
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.67909e+06        1410318          14296  0000000000000000  0000000000000000
     59          90631          72310           1021  b37b183445c96596  011d2a5e7b19a5ee
     60         186701          86772           1065  b37b183445c96596  0abcee64fc570d70
     61         705241         198081           2192  b37b183445c96596  0b8b4f34aabd7eb0
     62            810             27             19  b37b183445c96596  24b1019ffde88caa
     63    1.41895e+07        2841426          56973  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            633  b37b183445c96596  4c887614dd02f590
     66            305              9              1  b37b183445c96596  5a64f7ba7a51f79f
     67          58471          57848            497  b37b183445c96596  675726f7a60715aa
     68          15986           6195            128  b37b183445c96596  a5a6044a4c07d484
     69            170             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 14
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.05226e+06        2448577          23972  0000000000000000  0000000000000000
     59          89968          72310            990  b37b183445c96596  011d2a5e7b19a5ee
     60         185859          86772           1070  b37b183445c96596  0abcee64fc570d70
     61         703463         196479           2225  b37b183445c96596  0b8b4f34aabd7eb0
     62            807             27              4  b37b183445c96596  24b1019ffde88caa
     63     1.1822e+07        2368506          47369  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            598  b37b183445c96596  4c887614dd02f590
     66            279              9              3  b37b183445c96596  5a64f7ba7a51f79f
     67          58387          57848            477  b37b183445c96596  675726f7a60715aa
     68          16219           6195            147  b37b183445c96596  a5a6044a4c07d484
     69            162             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 15
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.69105e+06        1416045          14787  0000000000000000  0000000000000000
     59          90579          72310           1023  b37b183445c96596  011d2a5e7b19a5ee
     60         187089          86772           1038  b37b183445c96596  0abcee64fc570d70
     61         703979         198081           2135  b37b183445c96596  0b8b4f34aabd7eb0
     62            805             27              4  b37b183445c96596  24b1019ffde88caa
     63    1.41825e+07        2841426          56765  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            566  b37b183445c96596  4c887614dd02f590
     66            303              9              3  b37b183445c96596  5a64f7ba7a51f79f
     67          58952          57848            485  b37b183445c96596  675726f7a60715aa
     68          16117           6195            170  b37b183445c96596  a5a6044a4c07d484
     69            241             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 16
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.11264e+06        2471711          12580  0000000000000000  0000000000000000
     59          89986          72310           1005  b37b183445c96596  011d2a5e7b19a5ee
     60         185446          86772            946  b37b183445c96596  0abcee64fc570d70
     61         701014         196479           2134  b37b183445c96596  0b8b4f34aabd7eb0
     62            802             27              9  b37b183445c96596  24b1019ffde88caa
     63    1.17686e+07        2368506          46173  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            619  b37b183445c96596  4c887614dd02f590
     66            272              9              4  b37b183445c96596  5a64f7ba7a51f79f
     67          58420          57848            459  b37b183445c96596  675726f7a60715aa
     68          17553           6195            146  b37b183445c96596  a5a6044a4c07d484
     69            148             10              1  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 17
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.68204e+06        1411509          14442  0000000000000000  0000000000000000
     59          90655          72310           1049  b37b183445c96596  011d2a5e7b19a5ee
     60         187114          86772           1042  b37b183445c96596  0abcee64fc570d70
     61         703828         198081           2180  b37b183445c96596  0b8b4f34aabd7eb0
     62            807             27             12  b37b183445c96596  24b1019ffde88caa
     63    1.41833e+07        2841426          56993  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            606  b37b183445c96596  4c887614dd02f590
     66            299              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58849          57848            498  b37b183445c96596  675726f7a60715aa
     68          16028           6195            104  b37b183445c96596  a5a6044a4c07d484
     69            148             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 18
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.04872e+06        2447356           1224  0000000000000000  0000000000000000
     59          89941          72310            968  b37b183445c96596  011d2a5e7b19a5ee
     60         186326          86772            968  b37b183445c96596  0abcee64fc570d70
     61         702823         196479           2975  b37b183445c96596  0b8b4f34aabd7eb0
     62            829             27             13  b37b183445c96596  24b1019ffde88caa
     63    1.18216e+07        2368506          58941  b37b183445c96596  2e930d38ea32691b
     64             64              4              1  b37b183445c96596  3001b6fb84d61850
     65         144620         144620              0  b37b183445c96596  4c887614dd02f590
     66            302              9              4  b37b183445c96596  5a64f7ba7a51f79f
     67          58757          57848             18  b37b183445c96596  675726f7a60715aa
     68          16120           6195            138  b37b183445c96596  a5a6044a4c07d484
     69            148             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 19
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.68509e+06        1412696          12432  0000000000000000  0000000000000000
     59          90580          72310            824  b37b183445c96596  011d2a5e7b19a5ee
     60         187405          86772            881  b37b183445c96596  0abcee64fc570d70
     61         703262         198081           1779  b37b183445c96596  0b8b4f34aabd7eb0
     62            831             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.41854e+07        2841426          48229  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            518  b37b183445c96596  4c887614dd02f590
     66            395              9              5  b37b183445c96596  5a64f7ba7a51f79f
     67          58610          57848            436  b37b183445c96596  675726f7a60715aa
     68          16002           6195            148  b37b183445c96596  a5a6044a4c07d484
     69            148             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 20
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0     4.0522e+06        2446844          23903  0000000000000000  0000000000000000
     59          89981          72310           1000  b37b183445c96596  011d2a5e7b19a5ee
     60         186077          86772           1060  b37b183445c96596  0abcee64fc570d70
